xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
1089,1199,-1421,27709,-168396,-168640,-11169,38977,13452,16707,56868
-1794,-228,-2685,85205,-404785,-77819,-14453,40344,-5139,16707,56868
-1682,1391,1378,-383117,30639,129211,-12878,51208,2551,16707,56868
-3719,-222,178,64208,-150390,178710,-10534,41564,14453,16906,58225
-889,-830,-117,157531,-119506,-102783,-14013,42419,18859,16906,58225
-154,-2319,-648,142517,123474,66345,-11437,51208,-15136,16888,58225
-784,669,725,152465,49682,-84716,-13391,45861,-4284,16870,56543
2284,186,-274,-277526,127746,76232,-13012,42150,16271,16870,57836
-217,-976,540,52734,-364563,181213,-11535,36682,16735,16870,57836
307,-2579,-715,-318542,-96496,-210021,-13769,51538,6066,16870,57836
1621,-2546,127,-51696,214904,60546,-12548,45776,-16442,16870,57836
284,104,118,-227417,-241638,98632,-14782,41101,-1745,16870,57836
-3999,-2381,241,84777,101318,-177124,-9899,36987,19384,16870,57836
-58,54,-903,-327392,28259,204223,-13464,42529,10632,16870,57836
-869,749,887,126342,30944,-185729,-12121,50244,6311,16870,57836
1008,939,-2260,-40771,239379,231201,-10009,55456,3222,16870,57836
-648,-709,-43,143188,-213684,77392,-9216,41870,19860,16870,57836
345,-2629,-422,549438,-271484,-113159,-6958,42590,24475,16870,57836
-2698,-956,-1121,51635,29113,-228210,-6274,48181,-5444,16870,57836
-990,959,-1671,151733,105285,79345,-7678,45446,8215,16852,57836
-3392,571,25,-354919,7690,86059,-7861,28857,18188,16852,56568
-2224,-1461,408,60180,-250244,9399,-12036,20971,27429,16852,57867
8,-1997,-474,45532,93811,59265,-8935,33483,27294,16852,57867
800,-593,-477,-223266,387634,-198364,-5285,39794,-769,16852,57867
-2536,1002,1365,-53283,7690,163269,-4028,31848,28247,16852,57867
-1506,642,255,-85449,-203369,-78552,-17565,16687,32531,16852,57867
-857,-623,-336,231201,18127,83007,-14184,29333,26928,16852,57867
-1964,1130,1473,82763,69641,-61157,-5932,28869,5419,16816,57867
1189,805,-2220,-162841,-264038,117126,-7653,29064,17626,16816,56750
-2258,557,798,117187,-123657,-25634,-9350,8532,22094,16816,57756
-546,-429,-832,225891,-424926,-6713,-17175,19555,20556,16816,57756
-1379,620,-1314,98632,72265,-83251,-10241,32250,14257,16816,57756
1270,-56,-2453,8605,192749,-104858,-1794,28100,8239,16780,57756
-1397,1573,66,-369323,-212890,-114868,-10070,19616,24865,16780,56600
-3999,-2650,359,198425,-4089,-119873,-15661,6970,21984,16780,56600
-2463,-1516,-1600,174865,117248,72326,-15563,30114,19995,16780,56600
875,1477,-668,-174804,83007,102233,-10021,23168,12316,16780,56600
812,770,1139,-257019,48461,189208,-13293,25048,22448,16780,56600
-3396,412,354,-34790,-106445,-49743,-19616,25500,19287,16780,56600
-270,-151,-306,-105407,40466,-64819,-16711,29113,3820,16780,56600
-2671,-1983,2259,-5371,-9643,-27404,-14575,27148,20007,16780,56600
-3187,709,-401,-116149,12695,50415,-16149,8996,24621,16780,56600
-2821,-2561,-1556,-1342,-64086,76354,-19458,18591,7592,16780,56600
-1102,-1012,52,193298,270202,-186218,-11535,18371,-12084,16780,56600
774,194,-1472,-31616,-96496,-12207,-8691,15795,781,16780,56600
-2841,18,556,-178710,-210388,-29357,-18811,15307,11865,16780,56600
-2956,-702,-616,-103271,-230590,44982,-16088,10119,1538,16780,56600
-2708,-659,-782,44067,79833,142578,-14135,26452,-842,16780,56600
2232,437,-739,54992,-174743,67443,-15112,7604,-3015,16780,56600
-870,688,743,-34179,-79711,353576,-18664,14562,5090,16780,56600
-592,-9,-2396,-25146,-180175,-87951,-15173,10705,952,16780,56600
-1495,1010,-474,104309,-192260,-107116,-13098,24548,-15222,16780,56600
-3999,-3999,315,-13061,432250,-21667,-16528,1745,-9057,16780,56600
-2114,1515,462,-480773,-391235,112854,-14282,4125,-8728,16743,56600
-862,-521,545,112365,155151,-55908,-17016,3369,-6604,16743,57762
-940,-820,-1642,-820678,169555,73425,-12548,9375,-10009,16725,57762
127,736,3889,45349,66894,41076,-11926,-2368,-10705,16725,56546
491,712,-1992,-76965,294555,192016,-10485,10510,-3930,16689,56546
-3999,-105,-13,-56640,-62500,-23681,-15319,3332,-3771,16725,57721
655,-3527,-670,175476,-63720,-152038,-6176,14465,-6469,16725,56562
-2241,-2492,-1220,105773,129760,-14221,-15588,2807,-6835,16725,56562
64,944,-593,-217651,-178771,76110,-15051,11669,-4235,16707,56562
1473,1523,12,-114196,-101989,89294,-8190,1818,-1916,16707,57612
35,-344,-590,62500,164855,-73364,-12707,13342,-6311,16707,56306
17,-908,-258,35461,-91674,56945,-9423,16735,-12878,16707,56306
-187,735,3743,209899,-16174,39245,-15173,9912,-4577,16689,56306
-1451,1846,431,-215209,-61828,-127563,-9008,4833,-2026,16689,57647
970,-185,-414,239807,-51574,187255,-14294,4357,-4333,16689,57647
-3999,-2351,2468,117980,64514,-279846,-10827,3576,-8361,16707,57647
1655,1419,-2214,-366,-148498,91613,-15197,12304,-6774,16707,56300
-3372,-129,793,-67260,-5920,187744,-10205,6994,5297,16707,56300
146,828,-770,389892,-200866,-72082,-16552,7263,1330,16707,56300
-1987,-83,-26,-213012,-117309,-112182,-14050,24804,-12353,16707,56300
-3999,-639,1713,-62805,334350,-19714,-14099,8630,-16552,16707,56300
-3066,722,188,-259704,-243713,26367,-16955,21020,-11865,16707,56300
-3999,-2367,830,112670,-38269,-3356,-12475,18542,-195,16707,56300
127,-203,-1889,121154,-915,67504,-17663,15295,-6555,16707,56300
-2946,1051,340,-18066,105651,-11169,-17480,11645,-14709,16653,56300
732,1022,181,-106811,-38940,11596,-15722,15710,-17761,16653,56300
-1835,148,1367,-104064,-119873,230163,-1879,28527,-4528,16653,57571
-293,-734,-362,138366,-222900,122,-11926,26977,561,16653,56348
-668,678,-127,472351,-110351,-265991,-17590,34545,-13940,16653,56348
-3999,-3999,-778,-86914,162963,-83740,-18017,11645,-29504,16653,56348
-735,1338,-840,-203430,-227661,-3051,-13964,31323,-24731,16653,56348
-3644,329,590,-25390,-182556,-30883,-8251,36987,-866,16653,56348
-1906,829,-2537,79406,-95275,43823,-17468,32336,-8935,16653,56348
-2657,1331,1014,-46386,88500,-103454,-16052,29516,-10009,16653,56348
1699,874,-524,-96862,-92468,39978,-14697,34313,-21484,16653,56348
-1544,579,789,-132751,-93750,47546,1940,40246,-2514,16653,56348
92,-603,933,137023,-27404,-57006,-10717,39660,-3222,16653,56348
-421,1151,152,130676,435791,44738,-16247,45947,-7128,16653,56348
-3999,-2874,1047,-40771,197265,78247,-16406,35156,-31445,16653,56348
-1457,583,3999,-233276,-174133,59387,-13659,46350,-20861,16581,56348
759,-991,554,24963,-178222,-1220,-9289,47192,5395,16581,56348
3999,-3679,-2182,363464,-197326,45288,-11730,42956,4809,16581,56326
-2088,-346,394,313842,94543,-195312,-13903,46582,1916,16581,56326
1608,806,356,-141601,-129882,81665,-14282,43164,-18054,16581,56326
-1413,738,-247,-185607,-17272,-68847,-1208,42163,-2221,16581,56326
-979,1246,-259,30212,-90454,-45104,-9082,39746,4797,16581,56326
-645,278,-70,152832,-226684,-108764,-16015,53833,-2282,16581,56326
-3999,-1419,-170,-93078,309692,57617,-16113,43676,-22802,16581,56326
-1086,1203,482,-239807,-195190,87524,-9179,44885,-11853,16617,56326
87,-1229,501,151306,18676,-91186,-9497,44030,13439,16617,57456
-843,-201,-1348,-919433,73425,56640,-12390,48303,1342,16617,56118
-1504,620,-1644,-57983,104675,-70434,-11584,37854,-11657,16617,56118
857,957,-2003,63049,373657,272521,-7336,50549,-3247,16581,56118
-3874,705,594,142211,-222717,-34912,-5358,40698,12023,16581,57255
-42,-3606,-926,318420,-65612,39611,-11291,50109,12145,16581,56227
-2390,-2444,-1656,65551,109436,-84411,-14355,41394,-23474,16581,56227
-225,5,-710,113586,-102294,92224,-10620,41308,-15136,16581,56227
-2179,460,688,-112182,-36865,50476,-4577,40759,-1232,16527,56227
478,-801,-1391,176391,-108520,60119,-9277,39062,13183,16545,57283
-187,-388,-386,46508,45410,-159667,-11938,54541,4479,16545,56160
1526,-779,-575,105285,361022,-2990,-14624,53918,-20959,16509,56160
-3987,547,686,-340881,-184204,4516,-5834,43054,14685,16527,56160
-652,120,22,106506,506835,-76965,-9667,34790,17333,16527,56402
-1632,-311,-1115,6103,108947,228881,-12011,54260,8654,16527,56402
-330,-447,-3197,-50415,86242,-14404,-13183,43383,-5310,16527,56402
1343,543,3795,-357666,-200683,129333,-8972,48937,14904,16527,56402
2028,-906,307,83984,-173034,-13977,-13378,35119,11828,16473,57456
793,-2579,-845,62500,-346435,-271240,-11132,49548,12597,16473,56450
-2729,-263,1089,-140380,3173,-177368,-13012,51672,-12182,16473,56450
-2519,73,1568,22216,-141784,106384,-11047,45422,3759,16473,56450
674,-385,177,62377,-28991,-89721,-13122,35058,24755,16473,56450
-2964,-609,-1888,300109,-42053,165466,-6005,38330,19140,16473,56450
-3999,-285,1101,77636,87707,-248718,-8618,46325,16735,16473,56450
1646,590,-1153,-55480,259704,112365,-11462,47631,9399,16473,56450
-3313,-479,723,124572,-38085,119567,-14172,36865,27954,16473,56450
195,80,-2307,274658,-97167,-11840,-13415,29003,31018,16473,56450
-1866,288,40,-148803,-54809,-69030,-4687,34399,25451,16473,56450
-3367,-204,-1063,-20507,82153,144836,-13183,39990,18029,16473,56450
20,1479,433,155883,337646,-8056,-16491,41381,16064,16473,57663
-3747,-1995,-819,308044,-93627,-14404,-13000,29943,26708,16455,57663
229,847,-1240,395446,-308532,-158935,-6860,28100,27624,16455,57663
-2363,-1763,-314,115966,137878,-114013,-10974,40063,6982,16455,55933
-466,-646,-222,-309387,151428,18615,-19213,36181,16479,16455,55933
399,283,283,108703,32165,203430,-13818,35021,26013,16455,57551
-2158,379,-675,1281,-108398,154785,-8081,20507,22326,16437,57551
673,-1739,-734,-174926,106445,132019,-11889,16943,21838,16437,56042
1331,-1085,1113,-218933,97167,73730,-18627,34069,17834,16437,57660
-2872,-1380,234,123840,-66162,-84289,-14904,30712,25036,16419,57660
1543,673,-247,-354492,-57495,-26306,-7556,20642,25439,16419,57660
474,569,-1806,-105163,-56518,-19714,-10778,17700,19689,16419,56121
-723,-1502,505,-159667,176208,109375,-12438,23242,12915,16437,56121
-3750,1055,-68,81726,-59692,70983,-14270,23913,16833,16437,57590
179,-2701,-1012,176025,-135070,-15502,-8605,18884,22436,16383,57590
-3127,-463,-1633,-94909,112243,-159240,-3381,8410,19226,16419,56048
294,363,3999,331909,-75805,-59570,-17553,19348,9509,16419,56048
-355,139,394,211975,116943,-32409,-14758,21240,21215,16419,57334
-2078,1667,-690,70739,-64086,184021,-10546,19909,23742,16419,57334
-2443,644,2103,12817,-41687,-96923,-5712,9240,22277,16401,57334
-75,847,-2802,-195129,114929,109436,-15393,20654,6311,16401,55716
-3999,820,515,56945,-145690,197021,-17150,23120,17138,16401,57430
200,392,-2193,171447,-144165,-16113,-11389,27661,20263,16383,57430
-3651,-433,-959,71655,159301,-144226,-6311,7543,20373,16383,56006
-51,168,-3838,62561,140686,-88623,-13879,19091,4980,16383,56006
-280,-584,204,-241027,128356,-48095,-16906,27746,11035,16383,56006
1752,2542,335,-5187,-280578,53039,-16638,24816,17297,16383,56006
-1863,-2319,323,24719,-198791,-40527,-13757,15795,13244,16383,56006
-3597,-2011,-490,-61035,88195,87463,-19702,11682,2526,16383,56006
-2038,875,2044,-96801,209777,211242,-15808,19079,2966,16383,56006
817,282,-134,480896,-295715,-57006,-17895,18017,25341,16383,56006
-1803,1661,156,159118,-359924,3662,-15502,12255,7556,16383,56006
538,711,-594,177185,161071,-99792,-14831,17529,-13684,16347,56006
-956,-2610,-64,-181762,415893,7812,-11572,10034,-19665,16311,57516
-3999,923,876,-292541,-246826,10375,-16516,18908,12976,16311,56386
-342,-1992,-790,250610,-178405,114196,-15551,13232,5249,16311,56386
-3999,-1608,-1288,35827,194152,10253,-16845,14770,-9484,16311,56386
-1241,-720,-2042,222961,30639,196105,-14819,14294,-17028,16311,56386
-1380,1325,57,-458862,-264282,-85327,-7177,22180,-1367,16311,56386
839,228,-1734,105712,-66589,211547,-16406,5090,3308,16311,56386
-3999,-1465,-512,212097,305236,-92224,-12304,10559,-15234,16311,56386
493,-653,453,-4394,42297,-63720,-14221,9777,-14831,16311,56386
-1943,2592,-78,-314025,-122924,12329,-8239,20776,-6750,16311,56386
276,441,481,-119506,-208190,106872,-14416,793,-3344,16311,56386
2011,-3040,895,207336,-67626,-184387,-10925,9655,-9826,16311,56386
-3999,-1561,-389,83251,63110,130920,-13122,4492,-10717,16257,56386
-3999,37,608,-124084,-89111,74829,-8459,5920,-7543,16257,57625
1649,422,-3475,-120117,-222595,-87158,-16223,3381,183,16257,57625
-2078,396,-930,450683,168518,35278,-10754,15063,-354,16275,55974
899,-12,-917,285583,121337,-99731,-14062,3845,-14904,16293,55974
-1266,-1078,-141,3112,107116,222229,-13269,11987,-3820,16275,55974
-3999,655,170,-107055,-19897,-1159,-12658,9240,-3942,16275,55974
37,2421,-359,134948,41564,121643,-16210,15783,-10827,16275,55974
-362,-2151,-1122,-1953,-2868,-44372,-14196,10888,-15637,16275,55974
934,-1773,-1022,-47973,-102111,178466,-11865,24230,-5065,16275,55974
1417,340,614,114685,70129,-12268,-14343,22082,-7165,16275,55974
-1561,329,-259,16418,12451,-77026,-16455,27795,-27050,16275,55974
216,832,-635,190734,212097,-63842,-15722,26538,-23583,16275,55974
-3220,-887,1845,-292053,-145080,165100,-5468,34851,-17102,16275,55974
-646,35,-116,55847,-184692,-38818,-12255,16809,2172,16275,55974
-2028,-1304,298,-65002,72204,119873,-18017,32080,-7775,16275,55974
-103,333,-1080,3051,54565,48828,-16162,33581,-9460,16275,55974
37,-424,-1930,-62805,262084,181030,-14843,38439,-25292,16239,57421
219,1109,568,97717,-185302,7141,-6884,26904,-19580,16239,57421
-873,-237,-927,70922,-150146,-123168,-14587,32775,-12170,16239,55888
-316,-2770,-472,155395,-271240,69641,-15563,27722,-14746,16239,55888
-2137,-1382,-1474,-110229,77880,-141906,-12121,33190,-21520,16221,55888
-858,-239,-206,-312988,128967,-25451,-3845,33850,-24279,16239,56316
-1067,1289,324,521545,-243774,-67749,-8117,36730,-8789,16239,56316
-3999,-3718,-792,195861,-200439,-206054,-10546,32116,-4943,16239,56316
-2377,-1528,-982,-108154,91796,123901,-6018,28662,-9997,16239,56316
502,993,817,-299743,114013,154357,-3588,38256,-18859,16239,56316
-283,726,670,8422,31555,-52124,-8776,32763,-3833,16239,56316
-2229,1941,-519,330139,-117919,-229980,-14355,41235,598,16239,56316
465,-734,1443,-162841,-153015,-106994,-17187,36743,-4956,16239,56316
-2713,-1558,1428,-271850,81542,138610,-10217,49853,-21044,16257,57548
-1861,1086,505,151733,-222656,-137878,-12475,36877,-12927,16257,57548
-3724,1038,-2194,-407714,-68298,94909,-13391,43200,10192,16239,56179
-633,-924,-1933,148986,126831,11291,-15808,39025,4443,16239,56179
-2668,805,-2989,16906,82763,222167,-6909,47705,-3906,16239,56179
1490,550,-427,93261,329101,16601,-11352,41296,2197,16239,56179
-92,595,-1324,168701,-120666,79162,-9484,50744,13330,16239,56179
541,-3306,-393,36071,-66894,10009,-14294,41259,14428,16239,56179
-2541,-1571,-791,165344,109313,88928,-11914,45983,-14685,16239,56179
-467,-686,552,-135375,-24902,-63598,-10021,48034,-2185,16239,56179
1476,643,118,174682,-63171,147888,-10314,48510,14807,16239,56179
770,-124,10,65612,-103698,-294738,-9887,40039,11010,16239,56179
165,-1487,-1682,-178527,55664,-86791,-13049,43408,-8496,16239,56179
1704,-435,1278,-315856,257446,-15319,-9338,53601,-15356,16184,57376
-13,-682,203,527954,-243652,-92346,-11010,51721,17504,16184,57376
-1935,257,-922,740966,448547,-75500,-12292,32897,17492,16148,56105
-1518,-173,-1248,-95458,-228332,-3601,-11682,46081,-18115,16148,56105
114,-328,3999,96557,-124389,-52429,-9521,47009,-7153,16184,56105
1313,986,272,-99060,-183959,36804,-11804,48291,26245,16184,57366
3699,2283,-2562,317871,-65734,-241638,-7800,35058,21862,16184,57366
-3999,-1333,971,80810,34301,100219,-6335,35351,14282,16166,56303
2014,2109,-2240,-48278,-70800,124755,-9155,46911,5029,16166,57526
-2821,319,1090,20324,61401,-84045,-9423,50573,22509,16166,57526
117,1396,-169,-166564,461853,187377,-10229,40148,26110,16148,57526
-1335,405,-545,-333190,-5676,-89904,-4309,36010,4833,16166,55295
-3999,-696,-836,-13366,221801,260681,-10070,48034,7421,16166,55295
-2244,408,801,-389404,-201354,105651,-10827,39489,20605,16166,57398
472,-647,746,88745,-366699,-155090,-7434,36047,27392,16166,57398
237,-958,-647,886291,120910,-90759,-1403,19677,23022,16166,57398
1083,-928,-2788,-13854,-24719,172790,-5517,35510,10363,16166,57398
-1956,-5,2805,-173339,192138,-52246,-15795,35583,27416,16166,57398
-3062,1786,553,52368,-241394,185180,-12658,23693,30200,16166,57398
-142,-1683,-689,-96191,21545,-90332,-5541,18554,26586,16166,57398
-3683,124,1282,102172,85205,141418,-5993,35498,170,16076,55674
922,1081,-3624,-273315,-205322,-48217,-13366,42944,17468,16094,57443
-3347,-376,1165,78186,-175292,33386,-21960,31872,28967,16112,57443
-802,-961,-2379,88806,103332,-174560,-4260,11230,22363,16112,56415
-1172,1059,-1609,93750,10925,-141174,-2819,17834,8642,16112,56415
1750,931,-2754,24475,257751,-34423,-8532,34533,13098,16112,56415
-1441,1251,829,-319885,-328369,-211486,-13842,28698,24328,16112,56415
-2858,202,433,307495,-183288,-115905,-15356,15136,22827,16112,56415
-2261,-847,-1087,18920,103393,31738,-8569,7800,21362,16112,56415
547,178,-821,-108947,106323,186523,-11730,30676,13464,16112,56415
539,1760,1940,-259460,-51025,38452,-19030,25732,17272,16112,56415
-590,2413,402,42236,-126159,121093,-17224,13525,19104,16112,56415
160,-671,-425,20935,95214,-46081,-16271,11718,14770,16112,56415
-2399,-1460,432,-96679,174072,63171,-9960,16638,1330,16112,56415
-1241,198,-629,-210571,43579,-39123,-11511,20288,21948,16112,56415
186,1669,1764,87463,86486,96923,-19116,19396,17785,16112,56415
-452,1073,327,226074,102111,-88684,-16857,9350,11022,16112,56415
-1701,281,-268,160278,45227,73669,-11779,19458,-13830,16112,56415
463,369,-790,-266174,-180053,4394,-13391,17028,7800,16112,56415
-2947,244,-2753,-37292,-219116,95581,-17822,16381,18334,16112,56415
265,-651,594,147094,-173461,154052,-14196,18688,-842,16112,56415
-100,515,-2003,395446,72692,-63232,-14807,13049,-5773,16112,56415
1144,420,216,854,263854,2014,-16931,24133,-21142,16112,56415
-2030,101,223,-346862,142883,-90637,-15356,8911,2148,16112,56415
1508,-256,231,91125,-352050,18798,-8007,10498,-3381,16112,56415
-929,-824,437,-66162,-23986,-116821,-12414,13989,-8190,16112,56415
-1051,435,1183,-46691,82275,48767,-15002,15661,-13537,16112,56415
2349,1397,1855,-341430,-191955,65795,-13330,48,-14025,16112,56415
-2411,1198,-3975,57128,-257934,83068,-14245,4675,-5981,16112,56415
-523,-17,603,329895,-237976,-227966,-1892,6726,-11328,16112,56415
-263,429,-2881,51513,62011,-105041,-11853,6384,-15063,16112,56415
1275,-552,-393,84960,271545,-10375,-10852,14343,-13281,16112,56415
-2256,1419,-2805,-358459,-247619,-165283,-9399,9472,-6848,16112,56415
-3471,48,1111,147949,-146789,31921,-11096,4797,-7116,16112,56415
-1658,-704,75,233154,72998,121521,-12841,4235,-9045,16058,56415
449,538,-1203,-116577,29174,126159,-10522,16174,-4516,16058,57433
1227,1399,-717,-298889,-132568,-55908,-11291,5310,-4028,16058,57433
-1482,1961,89,167419,-30212,-82031,-16955,6201,-4260,16058,56409
-767,147,875,-72509,-85937,21850,-11230,4479,-4785,16058,56409
-2927,-2336,-546,-168396,92712,118896,-7910,5493,-10583,16058,56409
842,1407,-2530,36254,-84106,130065,-13073,13879,-7568,16058,56409
-3949,-1849,662,157043,-90087,-176940,-10375,9289,-7275,16058,56409
-420,369,680,-66040,53894,-147827,-14196,12048,-4724,16058,55243
-1412,1019,-1197,-25878,78186,-60119,-9484,15637,-11218,16022,56389
816,-336,-568,-175231,33325,116516,-13952,12048,-7897,16058,56389
-911,820,-832,95764,-419311,137390,-14782,19152,-2941,16058,56389
266,-421,69,117492,49987,-89660,-18713,14367,-8801,16058,56389
-422,-2083,192,176757,112854,-36437,-17626,31396,-12854,16058,56389
-1428,-2095,-469,-27587,196960,179016,-14929,20178,-25976,16058,56389
-3999,-591,1807,271362,-166931,-5493,-5541,30456,-5334,16058,56389
-95,327,-796,137878,177490,32226,-6420,31994,5297,16058,56389
-3720,-2166,166,201843,118591,36315,-17321,34204,3356,16058,56389
-398,-1477,24,82641,155761,-101806,-17224,31457,-27868,16058,56389
-1653,128,-561,-307312,-17272,116149,-15332,24023,-21252,16058,56389
-2933,-74,-585,80688,-131530,137084,-5798,35339,-12426,16058,56389
146,332,-125,331420,79162,-19104,-13269,27648,-6665,16058,56389
1008,-1068,-55,-49804,-92468,-161193,-16748,40014,-9362,16058,55336
-1260,-528,-247,-184448,199523,209655,-17565,24475,-26733,15968,56865
-66,-607,-484,49865,-54748,-82336,-7983,37963,-12536,15968,56865
-212,354,-13,89721,-107849,131164,-8776,32897,-4455,15968,56865
-2368,259,816,-35705,100646,-6469,-11218,36059,-4711,15968,56865
884,182,-492,313659,23315,16906,-14099,31799,-22387,15968,56865
577,1231,1370,-216857,13793,-73242,-5773,30261,-19335,15968,56865
541,127,-840,43151,-108703,96923,988,35339,-14331,15968,56865
751,-293,280,-64147,115478,42785,-8203,33972,-1525,15968,56865
1294,-1888,-386,-122070,158630,-168823,-13671,48913,-8923,15968,56865
-115,-921,-306,-214050,34484,35827,-16687,43090,-26586,15968,56865
2702,-17,-739,33264,-70434,-70861,-2380,47131,1452,15968,56865
-792,831,942,-210571,26428,135986,-10546,41186,4931,15968,56865
-2115,-636,883,66040,100036,-115112,-10888,49890,-1220,15968,56865
1542,1064,-371,-164367,-192138,88623,-14697,42736,-24365,15968,56865
-3999,998,-1690,108520,-3417,19042,-10119,48413,-8374,15968,56865
195,341,-3235,158142,-214111,68298,-5102,41918,-463,15968,56865
-981,-903,1093,81787,52429,-179687,-9350,43701,6201,15968,56865
657,1003,-1123,-103820,173767,-74279,-11657,50573,3662,15968,56865
-3572,648,-189,-253234,-156494,24108,-12829,50134,-11889,15968,56865
-3501,46,-1711,397155,-38635,-151245,-9118,44042,11608,15968,56865
-2396,29,1049,367858,92041,15075,-9533,34387,17431,15968,56865
-421,272,469,86120,139038,111450,-12145,49523,11914,15968,56865
1492,-183,-863,-309387,45227,126281,-11230,42797,-3051,15968,56865
-2777,862,-2085,31494,-67565,-36315,-9851,42773,17163,15968,56865
228,2010,1080,160156,-101684,-237854,-13842,31347,17871,15968,56865
-2408,-2031,286,-51940,41931,-28625,-11218,46594,12670,15968,56865
-2293,-1405,-713,-284484,-96374,165039,-13757,43041,-4370,15968,56865
-3584,879,1802,79162,-97473,-152099,-10595,40332,244,15968,56865
-1816,98,1436,-248413,26062,112304,-14196,35375,20764,15968,56865
-1910,-341,750,98327,121337,-40649,-11596,39831,13623,15968,56865
1527,-233,-1751,-53222,132324,142883,-11633,42907,10998,15968,56865
362,487,-2240,-38269,-78796,92895,-10852,50085,6628,15968,56865
-5,993,-2699,-17822,77453,-144104,-13854,43981,15649,15968,56865
-2340,-1981,447,72753,44311,-72387,-9716,41442,20446,15968,56865
-597,-694,-287,9338,112976,-87402,-10766,50341,6408,15968,56865
-630,-391,-239,-275329,39001,143676,-12353,44458,5627,15968,56865
-1854,574,-340,81726,-140625,130493,-11499,37487,18530,15968,56865
178,277,334,34545,107910,69763,-5688,29504,20495,15968,56865
