xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
30,274,937,-2075,1647,-427,25488,35034,-14013,36022,29613
32,269,936,-1892,1953,-549,25573,35314,-14404,36022,29613
28,265,934,-1831,1464,-1159,25244,35681,-14367,36022,29613
28,269,936,-1770,1464,-305,25061,35925,-15307,36022,29613
31,269,937,-2136,244,-427,25134,35571,-14160,36022,29613
27,270,938,-3906,3295,-610,25354,36010,-14965,36022,29613
27,271,935,-793,15502,-854,25659,35339,-14477,36022,29613
31,266,934,-915,2075,-854,24511,35290,-13439,36022,29613
29,272,935,-4577,4089,-1342,24853,35656,-13769,36022,29613
34,265,935,-2502,5371,-671,24938,35180,-13098,36022,29613
33,275,932,0,8117,183,25488,35485,-13208,36022,29613
14,315,932,1831,8422,-2380,25683,36022,-12731,36022,29613
15,233,942,2929,427,-1708,26684,35937,-12292,36022,29613
40,292,935,5187,3417,-549,27014,35949,-12194,36022,29613
39,313,934,4760,2075,-3845,26953,36022,-13366,36022,29613
23,300,928,7385,1220,-6042,27062,35803,-12377,36022,29613
68,256,948,-2624,1464,-3051,27062,36352,-13269,36022,29613
96,199,938,-5249,915,-854,26831,36608,-12084,36022,29613
87,157,934,1098,2990,-4577,27319,36083,-12048,36022,29613
63,197,934,-732,0,1953,27233,35668,-12756,36022,29613
91,181,945,-1831,2502,-1586,27014,36254,-12951,36022,29613
80,268,952,-1647,854,-1586,27270,36376,-13269,36022,29613
81,240,933,-2380,2380,1403,27844,36193,-12854,36022,29613
72,212,941,-3417,1159,-1770,27514,36218,-12597,36022,29613
74,204,957,-488,3417,366,27209,36145,-12036,36022,29613
87,190,939,61,2136,-1342,27758,36474,-11877,36022,29613
78,226,947,-3417,1464,915,27429,35876,-12841,36022,29613
72,233,948,-2075,549,-2868,27355,36352,-12133,36022,29613
88,215,949,976,1403,-854,27246,36694,-11791,36022,29613
95,230,944,-1464,2075,-1586,27087,36181,-12719,36022,29613
83,219,939,-1586,2563,-1220,27294,36560,-12072,36022,29613
