xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
-1760,199,-476,-111938,66528,16601,-18127,44384,-1403,20909,65299
-1208,330,-475,17761,-5920,8117,-16870,43725,9143,20909,65299
-1406,68,-273,16235,32043,15075,-14880,39355,19140,20909,65299
-504,56,-268,71777,-7873,-5371,-14257,35327,23388,20909,65299
-470,185,-186,92407,-219726,43334,-14794,39428,18176,20909,65299
-456,-157,-173,-39916,3417,-29724,-16906,45532,13781,20909,65299
-1165,968,-2,157104,35278,-45227,-16894,46142,1708,20909,65299
-2261,-149,-479,9033,71105,61096,-15576,43591,-146,20909,65299
-1879,-163,596,-4699,70129,4821,-13378,41137,18518,20909,65299
-738,-265,-636,6103,-33691,11840,-13537,37255,18518,20909,65299
-1647,142,-439,-5676,-5981,6347,-14184,40283,21716,20909,65299
-1590,134,135,-101806,-60668,-29052,-15075,44897,16711,20909,65299
-492,9,-159,51452,-34240,-46081,-16906,44555,4125,20909,64143
-1143,-88,-415,74951,-24414,-20263,-15148,44165,2954,20711,64143
-629,361,1324,6103,61218,63293,-15527,42224,11083,20711,64143
-980,33,164,83251,40832,18432,-13488,36120,21032,20711,64143
-935,4,-204,61523,4699,8056,-12548,39709,21093,20711,64143
-1189,311,-109,-94055,-197082,-793,-14074,43041,17663,20711,64143
-851,365,9,-49743,-10070,-43884,-16113,45947,12121,20711,64143
-207,-448,-332,206420,-25329,-44128,-14843,45751,4272,20711,64143
-1943,938,-91,45654,78918,22521,-14721,42797,85,20711,64143
-1424,-23,508,58593,105896,21057,-10717,32971,22363,20711,64143
-678,-208,-680,-793,15441,4089,-10925,34020,23510,20711,64143
-1094,-760,-72,-39978,-154479,-2319,-12207,38403,21240,20711,64143
-1588,1,79,-31494,-22766,-34606,-15429,41662,16784,20711,64143
-315,293,-494,130798,-20019,-52917,-15039,41284,8178,20711,64143
-200,67,-42,106445,66589,-8483,-15039,37170,4504,20711,64143
-1257,-81,701,41198,84350,-1525,-8898,30090,23876,20711,64143
-938,-32,-284,67382,76721,19348,-6323,25085,25061,20711,64143
-921,-306,-131,7934,-93078,21850,-8215,27502,27893,20711,64143
-1453,169,-22,-59692,-88562,-29846,-14929,35754,22119,20711,64143
-424,241,345,40466,-41870,-16113,-16711,36987,18750,20711,64143
-136,-360,-310,131286,61950,-31982,-17199,32495,12011,20711,64143
116,26,1161,40710,49499,76477,-9472,26867,19714,20711,64143
-795,-101,-664,52001,101135,-1220,-10913,21655,28576,20711,64143
-761,-191,-286,170288,32470,17395,-5310,23754,30810,20711,64143
-1760,14,55,-99792,-190795,116027,-13769,29675,25097,20711,64143
-896,30,224,-143493,68969,-24230,-18591,33154,22985,20711,64143
-270,-107,-306,234130,81848,-33996,-18603,33850,13635,20711,64143
-1857,-548,-110,11230,61401,49072,-11462,20593,14221,20711,64143
-1394,38,277,20690,99121,-8728,-7739,16186,25024,20711,64143
-722,-76,-342,854,-11047,-1586,-5810,19335,29858,20711,64143
-1742,206,95,-106262,-88745,-59326,-13488,28491,25488,20711,64143
-1521,291,6,-33691,-105957,-244,-18298,30761,23559,20513,63026
-430,215,-531,170654,22949,-48278,-18334,31811,13391,20513,63026
-581,547,-152,20507,76477,46203,-11743,21093,12280,20513,63026
-738,106,820,47607,26794,68542,-8679,14196,26013,20513,63026
-875,-114,-135,-148132,29296,2624,-5419,17224,29382,20513,63026
-1313,322,115,-102661,-55786,-66345,-11572,24975,23315,20513,63026
-1526,1,-97,-64208,-224243,86364,-15991,29638,21520,20513,63026
-558,272,-380,63720,-5065,-50537,-17272,29431,14868,20513,63026
-400,737,-144,63598,84289,59997,-14294,19470,17065,20513,63026
-498,-337,844,63903,21240,88012,-7824,15783,17956,20513,63026
-1017,16,-296,22033,46386,18493,-5529,9265,28759,20513,63026
-1251,737,-186,-97045,55114,52917,-9545,19323,26232,20513,63026
-1651,-111,-135,-94177,-252441,5859,-15258,22473,21984,20513,63026
-1013,193,-332,-59082,-25512,-43334,-17089,26037,13635,20513,63026
-1054,1304,-357,70983,97167,38269,-15417,21386,13793,20513,63026
914,257,626,-9155,53527,60424,-10583,14733,15527,20513,63026
-2109,-125,-529,29541,-9887,3417,-6481,9985,26086,20513,63026
-1056,-209,-433,62683,-23986,-37475,-3588,13269,27343,20513,63026
-1747,232,0,-138977,-123657,-36621,-11645,20288,25988,20513,63026
-1510,194,573,-58654,19836,-47790,-17517,21972,14257,20513,63026
-728,213,-160,119018,3601,-23254,-17504,20104,13879,20513,63026
-1412,320,-191,56457,100952,43334,-14404,17431,14648,20513,63026
-211,113,-109,41687,105102,72814,-10473,11560,27600,20513,63026
-913,-259,-761,104248,62133,-8605,-6616,15246,26977,20513,63026
-1289,1,-197,-125976,-6469,-14526,-11718,20092,26269,20513,63026
-1514,-89,-87,-94909,-25390,95642,-16259,24438,17724,20513,63026
-256,-391,-340,178405,-32653,-30090,-19067,23962,15014,20513,63026
-1417,38,-273,64880,62072,15075,-17272,18750,13854,20513,63026
-2511,-848,572,22705,107360,64941,-10791,15100,28369,20513,63026
-692,-669,-615,-56884,17028,-2380,-6970,14331,29113,20513,63026
-1005,-897,-270,-81115,-25512,-5310,-11364,18981,30065,20513,63026
-1762,191,29,-94482,8911,-46386,-17211,23889,17321,20513,61982
-250,-331,-456,64331,-10192,-39550,-19018,25427,14184,20440,61982
-2300,406,-312,-48889,-20568,5798,-17761,21740,16357,20440,61982
-1013,217,621,82153,87280,44616,-17041,15539,20166,20440,61982
-912,-126,-295,80200,-40893,-28564,-11157,7739,21484,20440,61982
-994,-269,73,113342,7324,36682,-10461,12585,23205,20440,61982
-1063,508,24,-86181,4272,46386,-16345,16650,12023,20440,61982
-475,99,257,-11962,-39428,-31982,-18029,15710,8935,20440,61982
-446,-149,61,120117,-37170,-34423,-17187,15783,8874,20440,61982
-599,338,512,150878,18249,59265,-17065,13916,15588,20440,61982
-974,19,316,43151,79162,-12817,-11767,5603,18151,20440,61982
-880,-230,-305,-75805,-23742,-27465,-10852,6506,20947,20440,61982
-1013,-463,-287,-72753,-144714,5798,-13793,12011,5224,20440,61982
-1585,169,112,15563,-111938,22949,-14831,10375,-1831,20440,61982
-184,-181,-631,42236,-57983,4211,-13830,8337,-4748,20440,61982
-1288,-263,-98,3112,82397,3784,-16198,11584,-2868,20440,61982
-1278,-182,-518,51391,76965,5126,-14624,8911,-2294,20440,61982
-748,-128,-320,-85754,81726,-60424,-10205,3991,1818,20440,61982
-959,-358,127,-142272,16357,-976,-13781,12658,1489,20440,61982
-1577,-121,-517,-79406,-127319,-20751,-13037,11547,-4577,20440,61982
-572,311,-523,159301,-47119,-10314,-10742,7067,-9375,20440,61982
-273,1520,-124,-4394,31799,59265,-13342,8581,-5871,20440,61982
-1139,245,-917,78308,106872,1708,-14099,8605,-5761,20440,61982
-1329,-3,-237,199890,54809,9216,-9631,3649,1281,20440,61982
-834,-340,-214,-131164,32165,-16601,-12988,9912,1379,20440,61982
-1479,764,365,-107116,36499,49499,-12841,10595,-646,20440,61982
-1540,43,-64,189147,-52734,-31433,-11914,6994,-9826,20440,61982
-145,125,-253,47668,-7568,51391,-13183,7104,-6652,20440,61982
-702,40,27,-9216,82763,89599,-16320,10900,-6079,20440,61982
-1058,-128,-534,-28991,86181,-10742,-11389,6506,-268,20440,61982
-893,-507,24,-87646,7324,-31860,-11096,5480,2246,20440,61982
-1285,-371,172,-117675,-57739,32226,-15820,13146,1086,20440,61982
-1672,-154,-373,-5981,-34606,-52551,-12561,8850,-8312,20440,61982
-66,-84,-427,55541,-55419,-16601,-11901,5322,-11083,20440,61982
-2893,359,646,57067,31311,75805,-16040,9692,-8105,20440,61982
-2191,-386,-171,-25573,80078,-13977,-11682,6713,-97,20440,61982
-681,-328,-382,16052,183,13244,-11621,3198,1538,20440,61982
-1069,-365,261,-118103,49987,17761,-13757,10778,2502,20440,61982
-1360,249,466,28686,-61706,-53344,-12829,10168,-6848,20440,61982
-471,126,-439,92773,7812,-34240,-11987,6225,-9094,20440,61982
-314,-273,1454,23559,-36132,59875,-13452,8569,-7897,20440,61982
-697,112,-1077,-7568,-9704,8789,-12268,8557,-2954,20440,61982
-757,57,-49,210449,86975,6347,-9899,2770,1623,20440,61982
-825,-387,-223,-148681,-6713,-12451,-11633,6738,2368,20440,60961
-1156,177,237,-107421,-170410,-26977,-13549,10754,-6579,20224,60961
-930,225,27,230529,-41809,-58349,-12634,6213,-8520,20224,60961
-143,-260,30,56518,-41625,15319,-12927,6347,-8764,20224,60961
-1613,152,514,66284,23254,5310,-13623,9106,-5163,20224,60961
-908,-162,-597,-66955,122924,-7141,-10241,1391,2783,20224,60961
-983,-212,189,-36315,25939,1281,-10192,3491,2160,20224,60961
-1133,-506,109,-30273,-104614,-50842,-12695,10815,-3491,20224,60961
-1459,208,-312,167602,31188,-57983,-11096,6298,-7165,20224,60961
