xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
0.011,-0.051,0.989,0.122,2.258,-1.770,-10.022,29.797,-31.812,19.720,43.931
0.011,-0.050,0.992,-0.061,2.136,-1.892,-9.363,29.541,-30.554,19.756,43.998
0.011,-0.050,0.993,-0.183,2.258,-1.953,-9.839,29.260,-30.225,19.756,44.036
0.010,-0.050,0.993,-0.122,2.380,-1.770,-9.619,29.468,-28.833,19.774,43.985
0.010,-0.050,0.994,-0.122,2.319,-1.831,-9.827,29.382,-29.382,19.774,44.062
0.011,-0.053,0.993,-0.122,2.319,-1.709,-9.253,29.138,-29.639,19.792,44.046
0.010,-0.049,0.993,0.122,2.319,-1.465,-9.448,29.834,-30.078,19.792,44.004
0.010,-0.051,0.994,-0.244,2.136,-1.892,-9.412,29.163,-29.895,19.828,43.975
0.010,-0.048,0.993,-0.061,2.197,-1.587,-9.009,29.700,-28.662,19.774,43.998
0.010,-0.050,0.992,-0.183,2.258,-2.014,-9.705,29.395,-29.407,19.792,43.972
0.010,-0.050,0.993,-0.183,2.258,-1.892,-9.668,29.749,-29.309,19.792,44.020
0.010,-0.050,0.995,-0.061,2.380,-1.892,-9.363,30.298,-29.578,19.810,44.023
0.010,-0.051,0.992,-0.183,2.380,-1.831,-8.960,30.042,-30.054,19.810,44.030
0.009,-0.051,0.993,0.061,2.136,-1.709,-9.448,29.834,-29.919,19.792,44.027
0.010,-0.050,0.993,0.061,2.197,-1.831,-9.668,30.273,-29.773,19.828,44.046
0.009,-0.047,0.994,0.122,2.319,-1.831,-10.132,29.309,-29.077,19.810,44.007
0.010,-0.051,0.993,0.000,2.258,-1.953,-9.485,29.590,-28.833,19.792,44.004
0.010,-0.051,0.994,-0.061,2.319,-2.014,-9.241,29.761,-29.578,19.810,44.058
0.009,-0.050,0.993,-0.244,2.258,-1.831,-9.070,29.810,-30.017,19.828,43.975
0.011,-0.048,0.995,0.000,2.258,-1.831,-9.888,30.200,-29.663,19.810,43.960
0.011,-0.050,0.993,-0.122,2.197,-1.770,-9.875,30.005,-30.298,19.774,44.036
0.010,-0.050,0.994,-0.244,2.319,-1.709,-10.071,29.211,-29.749,19.810,43.944
0.010,-0.050,0.994,0.061,2.319,-1.709,-10.168,30.103,-29.504,19.846,43.995
0.011,-0.049,0.994,0.061,2.441,-1.831,-8.960,29.907,-28.809,19.846,44.033
0.010,-0.048,0.994,-0.061,2.197,-1.831,-9.631,29.700,-28.589,19.828,44.030
0.010,-0.050,0.993,0.244,2.502,-1.770,-9.167,29.272,-29.895,19.846,44.036
0.009,-0.050,0.993,-15.564,2.258,-1.953,-9.412,28.845,-29.065,19.846,44.039
0.009,-0.050,0.993,-0.183,2.075,-1.953,-9.900,29.138,-29.468,19.828,44.081
0.010,-0.050,0.993,-0.366,2.258,-1.770,-9.668,29.639,-29.871,19.846,43.991
0.009,-0.049,0.993,0.183,2.380,-1.892,-9.729,29.541,-29.883,19.846,44.058
0.010,-0.049,0.993,0.122,2.319,-1.709,-9.485,29.248,-30.042,19.864,44.007
0.010,-0.049,0.994,-0.061,2.441,-1.709,-9.436,28.870,-29.773,19.882,43.995
0.010,-0.050,0.992,-0.061,2.441,-1.892,-9.875,28.821,-30.273,19.882,44.001
0.010,-0.049,0.993,0.000,2.258,-2.014,-9.729,29.919,-29.504,19.882,43.991
0.010,-0.051,0.993,15.503,2.380,-1.770,-9.924,29.602,-29.675,19.828,43.953
0.010,-0.051,0.994,-0.061,2.197,-2.136,-9.839,29.504,-29.395,19.882,43.950
0.010,-0.050,0.993,0.244,2.380,-1.709,-9.863,29.590,-29.041,19.846,44.004
0.009,-0.049,0.993,-0.122,2.197,-2.014,-9.424,29.602,-28.040,19.882,43.998
0.010,-0.050,0.993,0.061,2.441,-1.709,-9.656,29.309,-28.186,19.882,43.972
0.010,-0.050,0.993,-0.061,2.502,-1.770,-9.546,29.541,-29.639,19.882,43.969
0.009,-0.050,0.994,0.122,2.502,-1.587,-9.692,29.175,-29.700,19.900,43.940
0.011,-0.049,0.994,0.000,2.319,-1.953,-9.424,30.005,-28.833,19.882,43.982
0.010,-0.050,0.993,0.000,2.258,-1.709,-10.132,29.187,-29.102,19.846,43.969
0.010,-0.051,0.995,0.061,2.441,-2.014,-9.485,29.114,-29.248,19.882,43.940
0.010,-0.049,0.994,-0.122,2.319,-1.953,-9.363,29.224,-28.662,19.846,43.924
0.010,-0.053,0.994,0.000,2.197,-1.953,-9.668,29.895,-29.309,19.828,43.918
0.009,-0.050,0.993,0.000,2.319,-1.831,-9.375,29.382,-30.347,19.882,43.851
0.010,-0.048,0.994,-0.122,2.258,-1.648,-9.143,29.395,-29.553,19.864,43.998
0.009,-0.050,0.994,-0.183,2.197,-1.831,-9.766,29.187,-28.979,19.882,43.864
0.010,-0.049,0.994,-0.122,2.319,-1.831,-9.241,29.346,-29.858,19.846,43.972
0.009,-0.050,0.993,-0.183,2.258,-1.770,-9.583,29.590,-29.822,19.828,43.937
0.010,-0.050,0.995,0.122,2.441,-1.770,-9.558,29.443,-30.042,19.846,43.921
0.009,-0.050,0.993,-0.183,2.380,-1.770,-9.851,29.529,-28.271,19.828,43.998
0.011,-0.051,0.993,0.000,2.441,-1.709,-9.961,29.810,-29.248,19.846,43.979
0.010,-0.050,0.993,0.061,2.258,-1.770,-9.534,29.260,-29.968,19.864,43.924
0.010,-0.051,0.993,-0.061,2.197,-1.831,-8.984,29.431,-30.713,19.846,43.915
0.010,-0.050,0.993,-0.061,2.319,-1.953,-9.460,29.468,-29.553,19.900,43.937
0.010,-0.049,0.993,0.000,2.380,-1.648,-10.010,29.932,-29.175,19.846,43.921
0.010,-0.049,0.993,0.122,2.563,-1.709,-9.143,29.248,-30.066,19.900,43.950
0.010,-0.050,0.994,0.000,2.319,-1.892,-9.888,29.358,-30.347,19.864,43.886
0.010,-0.050,0.993,0.000,2.258,-1.709,-10.071,29.529,-29.102,19.810,43.950
0.010,-0.050,0.993,0.000,2.258,-1.831,-9.717,29.211,-30.127,19.864,43.918
0.009,-0.049,0.993,-0.244,2.258,-1.709,-9.827,29.236,-30.432,19.846,43.873
0.009,-0.050,0.993,-0.244,2.197,-1.892,-9.460,29.163,-29.480,19.864,43.873
0.010,-0.050,0.994,-0.122,2.319,-1.831,-9.546,29.749,-29.126,19.864,43.940
0.010,-0.050,0.993,0.000,2.319,-1.953,-9.668,29.419,-28.284,19.882,43.975
0.010,-0.049,0.994,-0.244,2.136,-1.953,-9.656,29.553,-28.662,19.900,43.985
0.010,-0.050,0.993,-0.122,2.441,-1.648,-9.192,29.395,-28.931,19.936,43.889
0.010,-0.049,0.994,-0.122,2.197,-1.831,-9.656,29.382,-28.345,19.882,43.873
0.009,-0.049,0.994,-0.122,2.258,-1.892,-9.570,29.285,-29.932,19.864,43.918
0.010,-0.050,0.994,-0.061,2.258,-1.648,-9.619,29.163,-29.028,19.900,43.960
0.009,-0.049,0.994,-0.183,2.197,-1.831,-9.644,29.272,-29.370,19.882,43.998
0.010,-0.049,0.994,0.061,2.441,-1.709,-9.607,29.126,-28.784,19.900,43.902
0.009,-0.050,0.994,-0.061,2.258,-1.770,-9.766,29.358,-29.504,19.918,43.883
0.010,-0.050,0.993,0.000,2.319,-1.892,-9.814,29.724,-29.224,19.918,43.877
0.010,-0.051,0.994,0.061,2.319,-1.831,-9.485,28.735,-28.613,19.900,43.915
0.009,-0.049,0.994,-0.244,2.136,-1.770,-9.717,29.187,-29.407,19.900,43.870
0.009,-0.049,0.992,-0.122,2.136,-1.831,-9.912,29.321,-29.590,19.936,43.873
0.010,-0.050,0.993,-0.183,2.441,-1.831,-9.399,29.333,-30.212,19.936,43.899
0.010,-0.050,0.993,-0.061,2.380,-1.648,-9.314,29.919,-28.784,19.900,43.934
0.010,-0.050,0.994,-0.061,2.136,-1.892,-10.010,29.248,-29.272,19.918,43.848
0.009,-0.049,0.993,-0.122,2.258,-1.953,-9.595,29.382,-28.870,19.918,43.867
0.010,-0.049,0.994,0.061,2.380,-1.587,-9.619,28.772,-30.005,19.900,43.857
0.010,-0.049,0.993,-0.061,2.197,-1.831,-9.473,29.150,-29.187,19.882,43.841
0.010,-0.050,0.994,-0.122,2.197,-1.953,-9.851,28.784,-30.579,19.882,43.969
0.009,-0.049,0.994,-0.183,2.136,-1.892,-9.338,29.724,-29.114,19.882,43.902
0.010,-0.050,0.993,-0.061,2.380,-1.709,-9.851,29.517,-29.309,19.864,43.877
0.010,-0.050,0.993,-0.061,2.319,-1.831,-9.766,29.260,-30.090,19.900,43.880
0.009,-0.049,0.993,0.000,2.380,-1.770,-9.363,29.553,-29.626,19.882,43.921
0.011,-0.049,0.993,-0.061,2.075,-1.770,-9.717,30.310,-29.236,19.882,43.870
0.010,-0.050,0.995,-0.061,2.258,-1.770,-9.705,29.248,-29.663,19.882,43.924
0.010,-0.050,0.993,0.000,2.319,-1.892,-9.595,29.126,-29.944,19.900,43.915
0.009,-0.049,0.994,-0.305,2.319,-1.892,-10.132,29.138,-30.273,19.900,43.870
0.010,-0.051,0.993,-0.183,2.258,-1.770,-9.509,29.285,-30.469,19.918,43.908
0.010,-0.050,0.994,0.183,2.441,-1.526,-9.973,29.480,-29.443,19.936,43.944
0.009,-0.050,0.994,0.000,2.319,-1.770,-9.753,29.980,-29.614,19.918,43.908
0.010,-0.049,0.993,0.122,2.319,-1.526,-9.680,29.382,-28.528,19.882,43.902
0.010,-0.049,0.994,-0.244,2.319,-1.831,-10.071,29.407,-28.479,19.882,43.896
0.010,-0.049,0.993,-0.061,2.136,-1.831,-9.937,30.042,-29.688,19.900,43.902
0.010,-0.050,0.993,-0.183,2.258,-1.892,-9.399,29.993,-29.492,19.900,43.867
0.010,-0.049,0.993,-0.061,2.319,-1.831,-9.631,29.163,-29.175,19.900,43.873
0.010,-0.050,0.994,0.000,2.258,-1.892,-9.595,29.785,-29.492,19.828,43.883
0.010,-0.049,0.993,-0.061,2.258,-1.831,-9.778,29.626,-28.662,19.900,43.854
0.009,-0.049,0.994,0.061,2.319,-1.770,-10.181,29.993,-29.675,19.864,43.928
0.011,-0.050,0.993,-0.061,2.197,-1.892,-8.899,29.663,-28.479,19.900,43.861
0.010,-0.050,0.993,-0.061,2.197,-1.770,-9.399,29.456,-30.444,19.900,43.908
0.010,-0.049,0.994,-0.244,2.319,-1.892,-9.863,29.456,-30.054,19.864,43.816
0.010,-0.049,0.993,-0.305,2.197,-2.014,-9.448,29.822,-29.309,19.882,43.908
0.010,-0.050,0.994,-0.061,2.258,-1.831,-9.521,29.541,-28.638,19.846,43.825
0.010,-0.052,0.994,0.061,2.258,-1.953,-9.827,29.456,-28.845,19.936,43.857
0.009,-0.050,0.995,-0.061,2.380,-1.831,-10.242,30.273,-29.736,19.882,43.940
0.011,-0.048,0.995,0.000,2.380,-1.892,-9.802,29.980,-28.369,19.846,43.838
0.010,-0.049,0.992,0.000,2.197,-1.709,-10.510,29.431,-29.272,19.900,43.813
0.010,-0.049,0.995,-0.244,2.258,-2.014,-9.448,29.541,-28.369,19.882,43.854
0.010,-0.050,0.993,0.000,2.319,-1.648,-10.046,29.590,-28.857,19.900,43.864
0.010,-0.050,0.994,-0.061,2.319,-1.892,-10.229,29.810,-28.918,19.864,43.845
0.010,-0.050,0.994,0.000,2.380,-1.770,-9.644,29.236,-29.065,19.864,43.841
0.010,-0.050,0.993,0.061,2.258,-1.892,-9.680,29.492,-30.029,19.900,43.857
0.010,-0.049,0.993,0.061,2.380,-1.831,-9.863,29.626,-29.980,19.900,43.838
0.010,-0.049,0.993,0.244,2.380,-1.709,-9.631,29.541,-30.029,19.900,43.854
0.010,-0.049,0.992,0.061,2.319,-1.953,-10.046,29.138,-29.297,19.936,43.892
0.010,-0.049,0.993,0.000,2.441,-1.892,-10.217,29.724,-29.736,19.900,43.889
0.010,-0.051,0.994,-0.183,2.136,-1.831,-9.448,29.480,-28.125,19.864,43.864
0.010,-0.050,0.995,-0.244,2.319,-2.014,-9.241,29.871,-29.663,19.918,43.851
0.010,-0.050,0.994,-0.061,2.197,-1.892,-9.607,29.102,-29.150,19.918,43.854
0.009,-0.050,0.995,0.061,2.258,-2.014,-9.412,29.614,-29.370,19.918,43.723
0.009,-0.048,0.994,-0.061,2.319,-2.075,-9.607,29.456,-28.320,19.918,43.908
0.010,-0.051,0.994,-0.061,2.197,-1.709,-9.497,29.260,-29.163,19.918,43.809
0.010,-0.049,0.994,0.000,2.319,-1.770,-9.827,29.016,-29.749,19.900,43.861
0.011,-0.051,0.993,0.061,2.380,-1.831,-10.046,29.480,-29.370,19.918,43.794
0.011,-0.049,0.993,0.061,2.136,-1.709,-9.705,29.736,-28.577,19.900,43.790
0.009,-0.049,0.995,0.183,2.258,-1.709,-10.278,29.895,-27.832,19.918,43.861
0.010,-0.052,0.993,-0.183,2.136,-2.014,-9.570,29.065,-29.285,19.900,43.813
0.010,-0.050,0.993,-0.549,2.014,-2.075,-9.644,29.907,-29.077,19.882,43.778
0.010,-0.048,0.993,0.122,2.441,-1.831,-10.071,29.419,-29.089,19.900,43.784
0.009,-0.049,0.993,-0.183,2.258,-1.648,-9.973,28.918,-29.797,19.918,43.889
0.010,-0.049,0.995,-0.061,2.258,-2.014,-10.059,29.150,-28.967,19.900,43.778
0.010,-0.051,0.993,0.000,2.319,-1.526,-9.790,28.784,-30.103,19.882,43.832
0.009,-0.049,0.993,-0.061,2.319,-1.770,-9.851,29.700,-28.418,19.900,43.794
0.009,-0.048,0.993,-0.122,2.075,-1.648,-9.888,29.712,-29.211,19.918,43.829
0.010,-0.049,0.994,-0.244,2.319,-1.953,-10.010,29.504,-30.127,19.900,43.829
0.009,-0.049,0.993,-0.183,2.319,-1.953,-10.156,29.443,-29.248,19.900,43.841
0.010,-0.050,0.993,0.000,2.319,-1.892,-9.937,28.906,-29.858,19.918,43.816
0.010,-0.048,0.993,-0.244,2.380,-1.892,-9.900,29.907,-29.309,19.900,43.896
0.010,-0.051,0.994,-0.122,2.136,-1.892,-9.631,29.456,-28.894,19.900,43.809
0.010,-0.049,0.993,-0.183,2.319,-1.892,-10.278,29.333,-29.016,19.900,43.880
0.010,-0.050,0.994,-0.183,2.319,-1.709,-9.363,29.395,-28.894,19.882,43.787
0.010,-0.049,0.993,0.000,2.441,-1.709,-9.937,29.529,-29.797,19.900,43.813
0.010,-0.050,0.993,-0.122,2.258,-1.831,-9.583,30.029,-29.492,19.900,43.768
0.010,-0.050,0.993,0.000,2.197,-1.892,-9.814,29.285,-29.248,19.918,43.771
0.009,-0.047,0.994,-0.244,2.258,-1.831,-9.973,29.578,-30.469,19.882,43.845
0.010,-0.051,0.993,-0.122,2.197,-1.770,-9.631,28.955,-30.139,19.882,43.803
0.010,-0.049,0.994,-0.061,2.319,-1.709,-10.547,29.492,-29.065,19.918,43.806
0.010,-0.050,0.993,-0.183,2.319,-1.831,-9.790,29.810,-29.224,19.918,43.864
0.010,-0.051,0.993,-0.122,2.197,-1.892,-9.631,29.419,-29.785,19.918,43.778
0.009,-0.048,0.993,-0.183,2.258,-1.953,-10.083,29.602,-29.431,19.918,43.829
0.010,-0.051,0.993,-0.122,2.075,-1.953,-9.790,29.260,-29.907,19.900,43.819
0.010,-0.050,0.993,-0.061,2.319,-1.709,-9.863,29.224,-29.236,19.882,43.790
0.010,-0.050,0.993,-0.061,2.258,-1.953,-9.277,29.578,-29.102,19.918,43.806
0.009,-0.048,0.994,-0.244,2.136,-1.892,-9.570,29.321,-29.028,19.864,43.797
