xa,ya,za
69,230,12
134,-113,617
-960,496,370
-1249,703,473
572,-282,118
866,-171,401
-1122,301,468
-1208,532,593
778,-113,81
649,25,-113
-1166,339,368
-1191,362,-230
328,196,-1035
557,533,690
-1329,-515,-42
-943,798,128
-1982,1286,-492
-218,-10,-226
-1355,-147,-146
-1594,866,-1389
-518,354,-122
-685,698,-276
-308,-63,-222
-806,-439,-703
246,-710,7
504,-513,720
-137,-228,373
333,683,339
576,535,1308
-171,224,910
108,-796,96
251,-729,-402
-1032,-542,1289
-625,-1272,114
386,83,-199
354,264,-76
-333,1304,955
-1004,267,-37
-280,-1083,-383
316,-753,-1193
620,94,-981
196,346,-586
535,960,267
436,361,1309
366,199,643
-260,-545,807
-216,-502,382
-541,-801,383
119,-760,734
673,-63,737
458,1229,811
-222,997,34
-1038,67,-249
-651,-469,-527
132,-1340,77
799,-729,548
438,260,541
-982,925,108
-816,298,-619
526,-513,-819
756,733,92
-154,694,303
-145,1370,764
-277,1090,1054
-1006,1025,-95
-130,-229,762
651,678,-2105
251,-202,773
8,-17,1006
-526,-917,334
1682,-360,-881
-494,80,-915
-5,267,64
37,2,-85
21,995,-816
-46,-181,-673
28,-221,-958
283,77,-1042
382,-40,-1286
-260,-149,440
-639,-1341,526
-749,-159,616
-856,393,514
-275,156,18
105,-571,757
-26,-814,371
-238,-571,-371
271,283,-836
199,1284,-1024
-623,658,28
-1321,370,765
-584,1283,302
-1503,319,815
186,62,1044
-150,167,-96
-999,68,1849
-506,405,103
-1227,-949,-314
293,893,-396
836,684,-93
-899,-357,1797
-918,385,1775
-1193,-50,1288
-832,1018,298
-272,-102,137
883,-171,301
1179,1271,640
327,366,852
-294,235,523
-939,1055,282
-769,987,162
260,613,58
-688,1261,56
-942,316,565
-1636,-334,1599
-391,350,1001
-333,1029,-703
193,1328,-577
-204,1030,298
-1936,-231,810
473,743,-99
-14,1010,1304
-2231,2279,-67
-1332,767,1474
-114,673,1260
-12,403,500
-812,-262,62
-977,180,899
456,2664,542
651,-302,1474
