xa,ya,za
-76,17,991
-76,18,992
-76,17,990
-77,18,990
-76,16,992
-76,15,990
-76,16,992
-76,18,990
-75,17,991
-75,16,991
-77,18,988
-76,17,990
-75,17,991
-76,16,991
-77,17,990
-76,16,992
-76,16,991
-76,17,991
-77,17,991
-75,17,991
-76,17,991
-76,16,991
-76,17,991
-76,17,989
-75,17,990
-76,17,991
-76,16,990
-76,18,991
-77,16,990
-76,17,992
-76,17,990
-75,16,991
-77,17,990
-76,17,990
-75,17,990
-76,17,991
-76,17,991
-76,17,992
-77,17,991
-76,16,991
-76,17,990
-75,17,990
-75,18,990
-77,17,990
-76,17,989
-76,17,991
-78,17,992
-75,16,991
-76,17,993
-74,13,992
-73,20,987
-76,14,991
-74,15,991
-72,17,991
-80,17,993
-77,25,990
-75,20,985
